Roll (x), Pitch (Y), Yaw (Z), Time (s)
10.55,-11.04,137.52,0.00
13.88,14.14,212.25,0.11
12.53,7.46,62.21,0.23
10.80,-11.28,156.16,0.34
12.23,19.53,250.12,0.46
12.68,5.03,73.57,0.57
10.72,-11.64,178.92,0.68
12.33,21.76,264.30,0.80
13.14,2.96,63.91,0.91
10.94,-8.80,189.80,1.03
12.04,22.03,200.33,1.14
11.62,1.79,41.03,1.25
10.79,-7.62,249.55,1.37
12.57,23.37,204.98,1.48
11.33,-0.08,51.90,1.60
9.87,-5.53,260.38,1.71
12.70,21.56,186.63,1.82
11.93,-4.61,34.24,1.94
11.37,1.58,245.21,2.05
12.63,22.89,135.95,2.17
12.63,-7.96,-5.37,2.28
13.25,3.92,153.00,2.39
12.57,22.14,72.03,2.51
9.52,-9.60,-1.22,2.62
13.80,4.58,64.38,2.74
12.70,23.12,2.56,2.85
10.59,-8.65,-13.69,2.96
13.12,5.18,62.45,3.08
13.75,22.79,-45.18,3.19
9.88,-8.57,13.92,3.31
12.20,7.18,71.62,3.42
13.70,17.51,-99.45,3.53
10.69,-9.41,-12.94,3.65
11.92,7.97,58.37,3.76
13.47,14.42,-115.70,3.88
11.09,-11.33,-5.49,3.99
13.10,10.31,104.19,4.10
12.67,7.64,-70.45,4.22
10.77,-12.03,47.38,4.33
13.70,13.00,153.06,4.45
13.21,8.38,-25.19,4.56
10.80,-11.33,68.21,4.67
13.33,15.88,180.41,4.79
13.09,8.52,42.50,4.90
11.18,-11.09,132.44,5.02
12.66,19.40,223.73,5.13
12.59,7.26,77.15,5.24
11.82,-10.09,171.64,5.36
12.66,20.77,234.87,5.47
11.54,2.93,83.16,5.59
11.85,-10.35,250.58,5.70
13.06,24.24,261.15,5.81
11.47,1.72,83.47,5.93
11.70,-10.12,247.54,6.04
13.07,22.80,224.18,6.16
11.58,1.76,20.63,6.27
10.38,-2.98,253.50,6.38
13.10,22.58,163.62,6.50
12.93,-8.95,-52.33,6.61
11.11,0.85,225.52,6.72
12.30,21.92,145.37,6.84
11.42,-8.46,-12.01,6.95
12.32,3.53,141.55,7.07
12.92,24.46,82.51,7.18
11.49,-11.72,18.95,7.30
13.16,5.43,121.58,7.41
13.38,23.85,53.89,7.52
10.40,-11.41,27.40,7.64
11.90,6.24,85.08,7.75
13.79,26.42,-69.53,7.86
11.56,-11.28,-34.96,7.98
11.66,6.02,46.83,8.09
13.75,21.33,-123.93,8.21
10.51,-9.34,-5.70,8.32
12.46,7.01,72.43,8.44
12.93,10.66,-115.48,8.55
11.46,-12.88,1.09,8.66
13.57,11.26,94.18,8.78
12.28,7.68,-17.44,8.89
11.08,-12.40,73.30,9.01
14.73,12.64,149.83,9.12
12.61,7.79,29.45,9.23
11.08,-10.95,107.25,9.35
13.43,14.55,237.78,9.46
12.74,7.13,75.85,9.57
10.97,-11.34,171.57,9.69
13.39,15.38,277.98,9.80
13.16,5.99,82.98,9.92
11.11,-11.41,187.98,10.03
12.61,22.03,269.17,10.15
12.62,4.90,63.52,10.26
11.46,-9.04,204.38,10.37
12.90,23.90,205.33,10.49
12.24,4.37,-3.93,10.60
10.89,-7.46,206.60,10.72
13.15,24.90,183.24,10.83
12.12,-0.75,9.34,10.94
10.60,-7.05,280.39,11.06
13.09,22.63,202.56,11.17
13.11,-5.49,0.65,11.28
10.80,-2.35,243.52,11.40
12.91,21.71,159.74,11.51
12.62,-9.66,4.35,11.63
14.30,7.00,189.75,11.74
12.91,22.22,94.53,11.85
10.85,-10.59,4.58,11.97
14.68,7.62,76.08,12.08
13.22,24.34,-15.13,12.20
10.20,-8.73,-15.78,12.31
13.14,6.42,43.28,12.43
13.90,22.27,-55.48,12.54
10.20,-8.41,10.29,12.65
11.65,5.87,40.01,12.77
14.56,18.70,-109.11,12.88
10.63,-10.16,-14.36,12.99
12.28,7.84,59.22,13.11
13.62,13.42,-118.02,13.22
11.25,-12.18,-10.75,13.34
13.41,10.48,112.25,13.45
12.98,9.60,-60.64,13.56
11.17,-11.24,31.40,13.68
13.90,11.69,152.50,13.79
12.20,9.61,-6.72,13.91
11.34,-11.70,84.64,14.02
13.49,18.13,216.85,14.14
12.61,8.25,78.17,14.25
11.11,-11.54,153.67,14.36
12.62,18.35,261.43,14.48
12.88,6.93,88.41,14.59
11.80,-10.34,182.45,14.70
12.71,20.32,256.63,14.82
