Roll (x), Pitch (Y), Yaw (Z), Time (s)
7.17,-17.24,4.54,0.00
7.27,-16.96,17.79,0.10
11.19,13.62,18.97,0.21
6.73,-1.07,12.20,0.31
6.21,-4.42,17.86,0.42
5.97,22.43,21.84,0.52
12.38,7.99,13.55,0.62
8.97,-3.51,14.64,0.73
8.43,-2.82,0.26,0.83
11.72,-5.66,7.73,0.94
9.98,12.98,12.35,1.18
9.67,0.89,5.95,1.28
10.04,-8.27,8.59,1.39
9.47,-3.99,14.31,1.49
10.83,5.88,7.05,1.60
8.46,-10.79,10.18,1.70
7.66,12.53,12.28,1.80
11.15,13.87,1.45,1.91
8.43,29.66,10.40,2.01
10.21,7.93,6.12,2.12
6.60,-2.31,9.02,2.36
6.74,16.86,10.80,2.46
7.43,1.50,2.11,2.57
12.03,-0.21,-0.52,2.67
7.07,8.99,2.23,2.78
8.99,18.79,-2.57,2.88
8.39,-7.67,-4.11,2.98
10.19,10.91,1.36,3.09
12.50,0.35,0.85,3.19
7.99,15.91,1.70,3.30
8.31,14.41,-6.20,3.56
5.50,-6.04,-3.50,3.66
28.21,-11.63,-1.81,3.77
13.96,8.34,-2.00,3.87
12.09,-6.27,-9.41,3.97
10.11,-10.03,3.51,4.08
8.90,16.91,4.08,4.18
8.31,-3.29,-1.49,4.28
9.08,20.93,-7.30,4.39
8.85,-14.71,-9.45,4.49
10.74,6.85,-2.43,4.76
7.95,19.17,-2.78,4.86
5.33,0.04,-9.47,4.96
11.74,0.73,-0.11,5.07
9.66,17.81,4.02,5.17
9.36,4.26,-1.54,5.27
11.35,-6.63,1.83,5.38
2.83,9.95,8.18,5.48
7.39,-14.97,31.64,5.59
8.52,16.95,30.49,5.69
6.31,-1.08,22.08,5.95
7.47,-2.87,25.69,6.05
7.48,23.12,28.31,6.16
9.81,4.61,22.46,6.26
7.80,-4.72,23.26,6.37
9.01,15.42,24.60,6.47
7.00,1.65,13.07,6.57
9.52,1.66,11.71,6.68
12.61,-1.81,1.20,6.78
10.54,-10.33,3.99,6.89
14.72,0.75,14.00,7.15
7.46,0.08,7.23,7.26
10.82,-9.57,5.47,7.36
8.89,9.51,6.08,7.46
7.11,13.53,-3.54,7.57
4.24,-3.55,-3.98,7.67
16.07,-13.11,-0.85,7.78
10.87,8.56,-0.48,7.88
11.12,24.19,-2.03,7.98
6.55,8.90,-7.07,8.09
4.17,0.87,-3.41,8.35
6.65,16.41,-3.23,8.45
9.58,16.52,-8.40,8.56
6.84,-6.56,-7.40,8.66
30.40,4.35,-5.70,8.76
14.71,16.62,-6.36,8.87
12.62,-8.02,-12.41,8.97
8.32,-4.81,0.28,9.07
10.37,-15.85,-0.56,9.18
11.55,10.52,-0.62,9.28
9.84,14.72,-7.00,9.55
6.27,-5.24,-5.59,9.65
29.69,4.66,-4.02,9.75
14.38,15.84,-4.97,9.86
10.85,-4.12,-13.14,9.96
6.42,-9.21,-0.19,10.06
8.85,17.77,1.83,10.17
8.97,-3.56,-4.80,10.27
7.68,23.30,-24.46,10.38
9.08,-5.88,-19.58,10.48
12.44,5.60,-15.94,10.75
10.47,11.98,-13.84,10.85
12.05,-8.51,-19.46,10.96
7.38,-0.61,-1.08,11.06
9.68,18.00,-0.45,11.17
8.58,-3.09,-5.81,11.27
8.00,-3.97,2.30,11.37
6.66,21.57,7.84,11.48
3.66,19.64,3.60,11.58
7.23,20.03,2.35,11.69
10.09,-10.68,-3.01,11.96
6.05,13.96,8.60,12.07
8.32,17.56,8.55,12.17
7.29,-2.79,2.65,12.27
7.77,1.21,8.68,12.38
10.13,20.27,11.54,12.48
9.34,3.23,6.55,12.59
9.17,-5.73,8.05,12.69
12.04,-11.11,-6.50,12.79
7.53,-12.34,12.36,12.90
9.66,15.04,11.54,13.18
7.17,-3.77,3.89,13.28
6.90,-3.81,11.26,13.39
7.11,17.07,18.10,13.49
11.79,3.21,12.30,13.59
8.16,-5.15,12.85,13.70
11.21,13.30,14.71,13.80
7.63,-3.92,3.76,13.90
9.86,21.74,4.38,14.01
8.09,-1.99,-2.40,14.11
7.79,-2.64,6.16,14.39
7.35,21.58,11.90,14.50
9.30,5.12,7.65,14.60
8.07,-4.24,9.04,14.70
9.57,16.87,11.67,14.81
7.39,-5.01,4.83,14.91
10.97,-2.14,2.94,15.02
7.62,13.54,4.55,15.12
8.28,-9.82,17.47,15.22
9.21,11.91,24.86,15.33
9.38,-2.13,17.70,15.60
7.76,-7.58,18.01,15.70
14.67,12.18,18.30,15.80
13.65,5.64,5.38,15.91
6.53,-6.44,5.88,16.01
3.50,13.15,4.54,16.11
8.30,14.64,2.16,16.22
9.87,-17.97,-0.38,16.32
8.84,-19.48,-8.53,16.43
6.47,-8.62,-4.28,16.53
11.80,13.89,-2.53,16.81
10.97,14.50,-14.09,16.91
5.74,-11.90,-11.00,17.02
2.53,12.79,-8.69,17.12
7.70,15.26,-9.25,17.22
9.04,-14.49,-11.09,17.33
7.72,9.90,-3.23,17.43
8.82,17.06,-2.73,17.53
11.25,15.51,6.87,17.64
8.04,-1.45,-3.14,17.74
11.39,-2.53,-2.48,18.01
9.67,15.98,0.47,18.11
9.06,21.06,-6.31,18.22
7.13,-13.26,-3.99,18.32
18.63,-0.50,-0.98,18.43
11.54,14.14,-1.30,18.53
13.60,-5.41,-11.48,18.63
11.59,-3.94,1.19,18.74
12.41,-13.40,-0.46,18.84
8.06,-3.07,1.08,18.95
9.11,14.90,-11.92,19.22
6.02,-6.80,-8.54,19.32
6.59,6.74,-6.32,19.43
7.12,15.76,-6.61,19.53
8.66,-3.90,-15.01,19.64
5.92,-6.39,1.13,19.74
8.09,19.59,3.02,19.84
6.27,-2.11,-3.34,19.95
8.44,22.13,-24.45,20.05
4.40,-3.35,-19.69,20.16
7.11,4.26,-15.59,20.44
7.54,15.53,-14.12,20.54
7.98,-8.67,-20.70,20.65
5.27,-3.36,-4.38,20.75
8.51,19.28,-2.19,20.85
6.65,-2.70,-8.14,20.96
7.36,-4.99,-0.35,21.06
8.29,14.04,4.63,21.17
9.02,10.22,6.80,21.27
8.82,16.93,4.89,21.37
12.68,-15.19,-4.44,21.65
5.92,8.19,8.38,21.76
8.22,23.17,8.09,21.86
8.40,-2.16,1.82,21.96
7.80,0.27,7.56,22.07
9.26,18.50,12.68,22.17
10.26,2.12,6.53,22.28
7.52,-4.90,8.32,22.38
7.80,-3.54,-10.68,22.48
3.76,-15.13,4.49,22.59
8.94,13.61,7.75,22.86
8.17,-3.21,-0.33,22.97
8.27,-6.75,6.30,23.07
6.93,21.75,12.24,23.17
6.19,3.16,9.97,23.28
7.05,-7.28,11.71,23.38
8.97,14.29,15.61,23.49
18.22,-4.04,5.51,23.59
12.90,20.62,11.87,23.69
9.47,0.81,2.54,23.80
8.44,-7.73,7.51,24.08
7.65,3.35,14.46,24.18
8.24,-5.97,11.46,24.28
8.48,-13.73,13.35,24.39
8.69,7.59,16.61,24.49
