Roll (x), Pitch (Y), Yaw (Z), Time (s)
7.67,23.09,-3.38,0.00
8.70,6.16,-5.77,0.10
9.15,-7.72,-1.49,0.21
10.54,11.73,-3.36,0.31
12.28,5.90,9.32,0.42
8.74,15.16,1.53,0.52
9.50,-6.47,-0.70,0.62
9.17,-8.37,-0.06,0.73
5.86,3.51,6.70,0.83
7.61,18.20,10.99,0.94
10.57,-6.68,4.50,1.20
5.33,1.25,14.83,1.30
8.98,14.51,15.31,1.40
8.46,19.81,11.57,1.51
9.01,4.72,7.87,1.61
8.88,-5.37,8.61,1.72
14.42,4.89,3.70,1.82
12.46,23.38,7.16,1.92
9.34,20.13,1.38,2.03
6.97,-2.25,1.51,2.13
12.35,12.71,3.95,2.39
10.40,21.52,3.00,2.49
13.44,1.54,-2.42,2.60
11.39,-9.37,-5.00,2.70
6.43,-0.94,5.62,2.81
8.37,12.73,7.28,2.91
7.80,18.38,4.53,3.01
11.74,3.38,0.90,3.12
10.18,-5.13,2.16,3.22
16.47,11.10,-2.27,3.33
8.93,6.73,-7.40,3.59
6.29,-5.23,-7.45,3.69
10.29,-2.95,-6.37,3.80
10.64,11.64,-0.56,3.90
10.01,17.71,-0.91,4.00
6.67,4.13,-2.29,4.11
9.42,-9.33,-1.43,4.21
6.62,8.43,6.47,4.32
7.82,22.68,14.37,4.42
9.32,21.37,9.56,4.52
7.57,-0.16,14.47,4.79
9.36,23.23,13.61,4.89
9.28,24.29,12.84,4.99
9.29,8.45,5.89,5.10
8.41,-3.97,2.01,5.20
9.66,-5.00,5.63,5.31
8.87,14.65,9.21,5.41
9.56,18.15,7.36,5.51
9.68,4.70,5.00,5.62
9.49,-6.41,6.20,5.72
9.83,21.82,6.98,5.98
9.26,12.03,2.11,6.08
7.07,-10.04,-1.47,6.18
7.55,-1.81,4.07,6.29
9.62,22.67,3.79,6.39
9.34,23.55,4.28,6.50
8.91,7.96,-1.43,6.60
9.46,-3.54,-4.37,6.70
12.14,-2.55,-3.38,6.81
10.27,13.52,2.45,6.91
13.70,0.36,-16.34,7.17
11.21,-6.12,-9.45,7.28
11.55,2.63,-2.42,7.38
10.21,17.00,-1.44,7.49
11.51,6.95,-6.14,7.59
6.94,-12.70,-4.88,7.69
8.88,-3.91,-0.56,7.80
11.51,10.10,1.15,7.90
10.26,20.31,0.93,8.01
9.32,4.79,-3.49,8.11
12.96,12.89,-2.11,8.38
10.53,21.47,-0.70,8.48
11.41,10.44,-4.43,8.59
8.96,-10.96,-7.67,8.69
8.94,-4.81,-1.24,8.79
9.35,19.89,-0.18,8.90
8.98,22.24,1.30,9.00
9.15,9.35,-3.03,9.10
