Roll (x), Pitch (Y), Yaw (Z), Time (s)
11.49,5.64,89.99,0.00
11.56,5.75,89.65,0.11
11.52,6.20,89.61,0.23
11.80,2.47,41.99,0.34
11.38,-9.30,68.26,0.46
11.20,6.81,159.22,0.57
12.45,22.01,134.40,0.68
12.40,11.14,51.67,0.80
10.10,-7.08,64.21,0.91
11.91,1.76,165.02,1.03
12.61,16.41,230.87,1.14
12.99,15.51,46.01,1.25
11.77,2.95,-48.40,1.37
11.40,-8.34,65.58,1.48
12.65,11.79,130.95,1.60
12.76,23.93,107.20,1.71
12.42,5.41,32.11,1.82
12.19,-10.12,61.55,1.94
11.88,1.25,116.95,2.05
13.02,22.80,144.65,2.17
12.46,14.53,58.08,2.28
11.65,-9.89,-84.01,2.39
11.92,-8.78,67.86,2.51
12.75,14.52,136.39,2.62
13.14,24.65,29.25,2.74
11.60,0.14,4.29,2.85
11.85,-9.94,71.15,2.96
12.25,6.49,166.03,3.08
13.21,22.52,152.72,3.19
13.29,10.86,43.62,3.31
11.89,-10.18,31.97,3.42
12.38,3.17,91.03,3.53
12.90,20.28,192.87,3.65
13.52,15.46,20.26,3.76
12.09,2.67,-61.71,3.88
11.95,-7.85,62.29,3.99
13.15,12.09,142.88,4.10
13.33,24.09,112.63,4.22
13.14,5.24,43.61,4.33
12.28,-9.69,72.73,4.45
12.46,0.14,162.76,4.56
13.48,22.94,171.21,4.67
13.23,13.68,65.46,4.79
12.27,-9.79,-9.08,4.90
11.91,-7.43,81.50,5.02
13.19,14.13,194.56,5.13
14.03,24.01,59.24,5.24
11.76,0.26,41.05,5.36
12.18,-9.76,96.44,5.47
13.30,8.05,182.94,5.59
13.56,22.75,161.57,5.70
13.26,7.34,49.50,5.81
12.17,-9.87,68.09,5.93
14.10,0.71,130.08,6.04
13.30,19.97,181.62,6.16
13.62,15.09,22.94,6.27
14.82,-2.01,-70.41,6.38
12.17,-8.18,79.78,6.50
14.12,12.25,149.72,6.61
13.67,24.20,95.52,6.72
13.54,4.31,34.28,6.84
12.64,-9.48,73.93,6.95
12.46,2.04,180.83,7.07
14.10,23.00,174.23,7.18
13.77,13.01,64.39,7.30
11.29,-7.54,-5.45,7.41
12.02,-6.18,104.21,7.52
13.14,15.40,216.56,7.64
14.14,23.83,74.50,7.75
11.81,0.93,46.84,7.86
12.50,-10.02,99.63,7.98
13.67,8.21,162.04,8.09
13.72,22.59,143.09,8.21
13.52,7.22,30.07,8.32
12.42,-10.12,51.54,8.43
14.09,-0.25,112.47,8.55
13.61,19.75,171.11,8.66
13.45,13.24,16.35,8.78
15.12,-1.89,-121.30,8.89
12.50,-8.94,59.94,9.00
14.20,11.76,138.29,9.12
13.91,24.39,84.42,9.23
13.33,1.87,16.75,9.35
12.92,-9.23,62.58,9.46
12.29,5.44,179.97,9.57
14.03,23.26,166.10,9.69
13.95,13.39,56.07,9.80
11.58,-7.57,-0.05,9.92
12.33,-6.04,101.44,10.03
12.91,18.39,217.20,10.14
14.52,23.40,30.21,10.26
12.21,2.60,27.20,10.37
12.74,-10.21,111.38,10.49
13.85,8.21,176.16,10.60
14.02,23.37,154.39,10.71
13.76,7.66,42.34,10.83
13.16,-10.21,55.58,10.94
14.15,-0.51,114.27,11.06
14.12,22.16,168.22,11.17
13.90,13.89,42.12,11.28
15.57,-2.46,-99.94,11.40
12.64,-5.37,71.89,11.51
14.99,12.39,165.84,11.63
14.16,24.54,96.64,11.74
13.46,2.06,37.96,11.85
12.93,-9.67,74.20,11.97
12.81,5.50,183.00,12.08
14.29,23.24,164.79,12.20
14.14,11.76,49.61,12.31
11.42,-7.31,32.37,12.42
12.27,-3.02,116.68,12.54
13.22,19.41,201.12,12.65
14.20,17.20,7.27,12.77
12.97,2.54,1.90,12.88
13.09,-10.37,97.56,12.99
14.13,10.99,168.34,13.11
13.98,23.48,135.31,13.22
13.78,5.58,32.95,13.34
13.69,-10.75,58.11,13.45
13.72,-0.97,95.79,13.56
14.21,22.68,161.67,13.68
13.76,13.09,26.08,13.79
14.15,-9.22,-100.95,13.91
12.99,-4.88,52.73,14.02
14.34,13.18,157.64,14.13
14.20,24.67,54.70,14.25
13.56,2.29,10.91,14.36
13.17,-9.93,56.35,14.48
12.49,5.86,179.00,14.59
14.39,22.79,164.33,14.70
14.30,11.85,43.88,14.82
12.37,-7.98,45.10,14.93
12.27,-2.89,132.56,15.05
13.17,18.66,217.37,15.16
14.32,18.39,25.13,15.27
12.52,2.13,-27.16,15.39
12.80,-9.58,81.85,15.50
14.22,11.34,155.02,15.62
14.26,23.94,124.32,15.73
13.72,5.68,34.53,15.84
13.65,-10.27,59.56,15.96
13.91,-0.65,102.32,16.07
14.35,22.50,143.09,16.19
14.60,13.15,14.40,16.30
14.22,-9.12,-33.52,16.41
13.01,-4.53,92.20,16.53
14.76,13.30,213.38,16.64
14.77,24.99,86.91,16.76
12.93,0.53,15.78,16.87
13.09,-9.62,71.11,16.98
13.78,7.73,182.36,17.10
14.56,23.05,154.47,17.21
14.21,8.52,41.06,17.33
12.47,-8.50,46.22,17.44
12.34,-2.50,116.96,17.55
13.80,19.51,216.82,17.67
14.62,17.69,15.51,17.78
14.49,0.78,-42.66,17.90
12.89,-9.88,110.21,18.01
14.82,12.78,172.32,18.12
14.44,23.71,122.05,18.24
13.90,4.41,40.04,18.35
13.52,-9.70,62.87,18.47
13.99,-0.54,159.39,18.58
14.61,22.64,172.22,18.69
14.41,13.32,59.62,18.81
12.10,-7.49,1.29,18.92
13.39,-4.38,94.46,19.04
15.00,12.33,214.52,19.15
14.82,24.93,88.19,19.26
12.85,0.72,41.50,19.38
13.25,-10.01,83.95,19.49
13.75,7.80,167.74,19.61
14.29,23.14,145.69,19.72
14.53,9.37,50.42,19.83
12.64,-7.66,50.19,19.95
13.43,-0.50,124.98,20.06
14.07,19.24,186.70,20.18
14.34,13.58,-9.85,20.29
15.79,-0.27,-112.26,20.40
12.86,-7.25,62.89,20.52
14.84,12.73,150.42,20.63
14.50,23.98,105.08,20.75
13.65,5.52,37.86,20.86
13.68,-9.51,70.99,20.97
13.17,3.44,162.21,21.09
14.71,23.15,159.76,21.20
14.40,13.31,48.90,21.32
12.17,-7.30,-5.80,21.43
13.54,-3.78,89.31,21.54
13.95,16.78,214.58,21.66
15.08,25.25,30.15,21.77
13.06,1.28,2.07,21.89
13.37,-9.85,78.06,22.00
13.91,7.71,165.19,22.11
14.65,23.19,148.50,22.23
14.83,7.42,40.65,22.34
13.36,-10.19,48.03,22.46
13.23,0.10,105.40,22.57
14.68,21.65,171.07,22.68
14.22,13.33,13.08,22.80
15.21,-1.39,-85.88,22.91
12.98,-6.74,87.92,23.03
14.76,12.91,170.19,23.14
14.74,24.11,115.80,23.25
13.70,4.32,28.61,23.37
13.52,-9.97,55.40,23.48
13.58,3.80,176.03,23.60
14.36,23.61,174.35,23.71
15.01,12.36,43.57,23.82
12.46,-7.63,57.30,23.94
13.09,-4.33,115.59,24.05
14.02,16.20,211.09,24.17
15.67,20.77,32.47,24.28
13.28,0.99,-19.27,24.39
13.18,-10.02,72.29,24.51
14.33,8.53,163.65,24.62
14.89,22.76,134.46,24.74
13.95,5.62,28.56,24.85
13.69,-9.97,41.77,24.96
14.94,-1.15,105.90,25.08
14.61,22.23,169.66,25.19
14.17,13.93,7.28,25.31
14.37,-7.91,-94.91,25.42
13.05,-7.32,102.99,25.53
14.85,12.81,182.35,25.65
14.79,25.12,86.51,25.76
14.00,2.00,-0.34,25.88
13.65,-10.13,49.03,25.99
13.47,4.23,183.41,26.10
14.91,23.29,170.48,26.22
15.07,12.51,47.23,26.33
13.55,-8.36,28.91,26.45
13.34,-3.56,101.26,26.56
14.02,19.18,212.58,26.67
15.34,21.52,32.70,26.79
13.61,2.77,-47.13,26.90
13.64,-10.92,49.57,27.02
14.31,9.06,144.88,27.13
14.95,23.26,122.86,27.24
13.74,6.36,37.85,27.36
13.72,-9.32,63.53,27.47
15.09,-1.44,110.34,27.59
15.06,21.74,151.24,27.70
14.33,12.59,13.46,27.81
13.99,-7.77,-37.88,27.93
13.32,-3.37,148.69,28.04
14.83,13.67,224.07,28.16
15.09,24.15,117.59,28.27
13.74,2.17,28.72,28.38
13.83,-9.94,68.94,28.50
